type,item_id,subitem_id
item,1311475308,
item,1311475315,
item,1311475318,
item,1311475323,
item,1311475328,
item,1311475344,
item,1311475352,
subitem,1311475352,1311475363
subitem,1311475352,1311475374
item,1311475384,
item,1311475395,
subitem,1311475395,1311475400
subitem,1311475395,1311475403
item,1311475409,
item,1311475418,
item,1311475421,
subitem,1311475421,1311475768
subitem,1311475421,1311475770
item,1311475771,
item,1311475774,
item,1311475776,
item,1311475779,
item,1311475780,
item,1311475782,
item,1311475784,
subitem,1311475784,1311475786
subitem,1311475784,1311475789
item,1311475792,
item,1311475793,
subitem,1311475793,1311475795
subitem,1311475793,1311475800
item,1311475801,
subitem,1311475801,1311475803
subitem,1311475801,1311475807
subitem,1311475801,1311475810
subitem,1311475801,1311475814
item,1311475816,
item,1311475817,
item,1311475819,
subitem,1311475819,1311475820
subitem,1311475819,1311475823
item,1311475826,
item,1311475827,
item,1311475829,
item,1311475831,
item,1311475834,
subitem,1311475834,1311475835
subitem,1311475834,1311475843
item,1311475858,
item,1311475961,
item,1311475975,
item,1311475984,
subitem,1311475984,1311476000
subitem,1311475984,1311476020
item,1311476040,
item,1311476042,
item,1311476052,
item,1311476064,
item,1311476075,
item,1311476077,
subitem,1311476077,1311476082
subitem,1311476077,1311476088
item,1311476093,
subitem,1311476093,1311476094
subitem,1311476093,1311476097
item,1311476107,
item,1311476112,
item,1311476118,
subitem,1311476118,1311476121
subitem,1311476118,1311476125
item,1311476131,
item,1311476137,
subitem,1311476137,1311476139
subitem,1311476137,1311476147
item,1311476152,
item,1311476154,
item,1311476159,
subitem,1311476159,1311476164
subitem,1311476159,1311476168
item,1311476169,
item,1311476170,
item,1311476172,
item,1311476239,
subitem,1311476239,1311476245
subitem,1311476239,1311476247
item,1311476249,
item,1311476251,
item,1311476252,
item,1311476255,
subitem,1311476255,1311476257
subitem,1311476255,1311476261
item,1311476269,
subitem,1311476269,1311476275
subitem,1311476269,1311476278
item,1311476284,
subitem,1311476284,1311476287
subitem,1311476284,1311476292
item,1311476295,
subitem,1311476295,1311476297
subitem,1311476295,1311476301
item,1311476306,
item,1311476309,
item,1311476311,
item,1311476314,
subitem,1311476314,1311476318
subitem,1311476314,1311476323
item,1311476327,
item,1311476329,
item,1311476331,
item,1311476332,
subitem,1311476332,1311476336
subitem,1311476332,1311476339
item,1311476343,
item,1311476344,
subitem,1311476344,1311476346
subitem,1311476344,1311476497
item,1311476499,
item,1311476502,
item,1311476506,
item,1311476512,
item,1311476518,
item,1311476520,
item,1311476525,
subitem,1311476525,1311476528
subitem,1311476525,1311476529
item,1311476533,
item,1311476534,
item,1311476535,
item,1311476536,
item,1311476537,
item,1311476540,
item,1311476542,
item,1311476546,
item,1311476547,
item,1311476548,
item,1311476550,
item,1311476551,
item,1311476554,
item,1311476557,
item,1311476561,
subitem,1311476561,1311476562
subitem,1311476561,1311476566
item,1311476575,
item,1311476577,
item,1311476578,
item,1311476581,
item,1311476582,
subitem,1311476582,1311476586
subitem,1311476582,1311476676
item,1311476682,
item,1311476686,
item,1311476689,
item,1311476691,
item,1311476695,
item,1311476696,
subitem,1311476696,1311476698
subitem,1311476696,1311476700
item,1311476703,
item,1311476706,
item,1311476708,
item,1311479606,
subitem,1311479606,1311479609
subitem,1311479606,1311479615
item,1311479620,
subitem,1311479620,1311479624
subitem,1311479620,1311479639
item,1311479702,
subitem,1311479702,1311479741
subitem,1311479702,1311479804
item,1311479873,
subitem,1311479873,1311479922
item,1311479995,
subitem,1311479995,1311480027
item,1311480092,
subitem,1311480092,1311480116
subitem,1311480092,1311480163
item,1311480198,
subitem,1311480198,1311480214
subitem,1311480198,1311480246
item,1311480284,
subitem,1311480284,1311480303
item,1311480326,
subitem,1311480326,1311480336
subitem,1311480326,1311480348
item,1311480361,
subitem,1311480361,1311480365
subitem,1311480361,1311480368
item,1311480369,
subitem,1311480369,1311480372
subitem,1311480369,1311480379
item,1311480387,
subitem,1311480387,1311480389
item,1311480391,
subitem,1311480391,1311480393
subitem,1311480391,1311480395
subitem,1311480391,1311480396
subitem,1311480391,1311480397
item,1311480399,
subitem,1311480399,1311480401
item,1311480403,
subitem,1311480403,1311480405
subitem,1311480403,1311480407
subitem,1311480403,1311480409
item,1311480413,
subitem,1311480413,1311480414
item,1311480420,
item,1311480422,
subitem,1311480422,1311480437
item,1311480451,
subitem,1311480451,1311480455
subitem,1311480451,1311480459
item,1311480470,
subitem,1311480470,1311480603
subitem,1311480470,1311480607
subitem,1311480470,1311480613
item,1311480616,
subitem,1311480616,1311480620
item,1311480629,
subitem,1311480629,1311480632
subitem,1311480629,1311480636
subitem,1311480629,1311480640
subitem,1311480629,1311480647
subitem,1311480629,1311480649
item,1311480655,
subitem,1311480655,1311480658
subitem,1311480655,1311480665
subitem,1311480655,1311480668
item,1311480675,
subitem,1311480675,1311480681
item,1311480683,
item,1311480688,
subitem,1311480688,1311480695
subitem,1311480688,1311480700
item,1311480709,
subitem,1311480709,1311480713
item,1311480717,
subitem,1311480717,1311480721
subitem,1311480717,1311480723
subitem,1311480717,1311480733
item,1311480737,
subitem,1311480737,1311480740
subitem,1311480737,1311480748
item,1311480755,
subitem,1311480755,1311480759
item,1311480767,
subitem,1311480767,1311480865
item,1311480870,
subitem,1311480870,1311480871
item,1311480879,
subitem,1311480879,1311480889
subitem,1311480879,1311480894
subitem,1311480879,1311480907
item,1311480912,
subitem,1311480912,1311480915
subitem,1311480912,1311480918
item,1311480922,
item,1311480928,
subitem,1311480928,1311480940
subitem,1311480928,1311480944
subitem,1311480928,1311480950
item,1311480951,
subitem,1311480951,1311480956
subitem,1311480951,1311480962
item,1311480965,
subitem,1311480965,1311480969
subitem,1311480965,1311480973
subitem,1311480965,1311480975
item,1311480978,
subitem,1311480978,1311480982
item,1311480986,
subitem,1311480986,1311480994
item,1311481029,
subitem,1311481029,1311481045
subitem,1311481029,1311481064
subitem,1311481029,1311481070
item,1311481075,
subitem,1311481075,1311481085
subitem,1311481075,1311481105
subitem,1311481075,1311481231
subitem,1311481075,1311481233
item,1311481236,
subitem,1311481236,1311481239
subitem,1311481236,1311481243
subitem,1311481236,1311481251
